PlaytroughId;TotalTime;TotalPoints;CoinsCollected;EnemiesDefeated;PercentageProgress;Deaths;TotalEnemyProxTime;StandingStillTime;Score;IsFinished;LevelTime_1;LevelPoints_1;LevelEnemies_1;LevelCoins_1;LevelDeaths_1;LevelEndHp_1;LevelFinished_1;LevelTime_2;LevelPoints_2;LevelEnemies_2;LevelCoins_2;LevelDeaths_2;LevelEndHp_2;LevelFinished_2;LevelTime_3;LevelPoints_3;LevelEnemies_3;LevelCoins_3;LevelDeaths_3;LevelEndHp_3;LevelFinished_3;UserId;StartTime;EndTime;LastUpdate;DefeatedEnemiesIds;CollectedCoinsIds
21;266,892211914063;455;7;0;16,4948444366455;2;5,3980016708374;0;2964;0;53,5594902038574;195;0;3;2;3;0;103,052200317383;260;0;4;0;0;0;0;0;0;0;0;0;0;2;2024-05-09 05:23:12.980;NULL;2024-05-09 05:33:44.010;;101,103,114,202,203,204,205
22;98,3403396606445;130;2;0;13,9175252914429;0;4,59100198745728;0;2150;0;68,2128295898438;130;0;2;0;3;0;30,0259418487549;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2024-05-09 21:12:23.527;NULL;2024-05-09 21:14:15.010;;103,114
23;59,3020706176758;325;5;0;2,57731962203979;1;5,10659551620483;0;833;1;59,3020706176758;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2024-05-09 22:07:35.667;2024-05-09 22:08:39.153;2024-05-09 22:08:40.557;;101,103,110,111,113
24;52,8267784118652;325;5;0;2,57731962203979;1;0,533399999141693;0;834;1;52,8267784118652;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2024-05-09 22:08:44.250;2024-05-09 22:09:42.107;2024-05-09 22:09:42.990;;101,103,110,111,113
25;161,349731445313;580;8;2;18,0412368774414;1;5,27309894561768;0;4101;1;76,4698104858398;320;1;4;2;2;0;83,9962692260742;260;0;4;1;0;0;0;0;0;0;0;0;0;6;2024-05-09 22:09:48.370;2024-05-09 22:12:40.637;2024-05-09 22:12:41.450;103,107;101,103,114,113,202,203,204,205
26;9,74669551849365;65;1;0;0,515463888645172;0;0,167400002479553;0;65;0;9,74669551849365;65;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2024-05-09 22:14:57.043;NULL;2024-05-09 22:14:57.043;;101
27;452,070465087891;3955;59;12;75,2577285766602;3;32,6994171142578;0;13972;1;59,9421882629395;315;2;3;1;5;0;150,562042236328;1560;4;24;0;1;0;150,298828125;2080;6;32;2;4;1;7;2024-05-09 22:15:05.793;2024-05-09 22:23:11.710;2024-05-09 22:22:51.087;103,102,210,206,209,208,313,312,309,308,317,316;101,103,114,202,203,204,205,207,208,209,211,207,221,220,214,215,216,217,219,218,225,226,227,230,232,233,234,301,302,303,317,318,319,320,321,314,315,328,327,326,325,324,323,322,334,333,349,348,344,343,342,341,338,337,336,335,354,355,356
28;38,6862869262695;325;5;0;2,57731962203979;1;6,21739149093628;0;837;1;38,6862869262695;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2024-05-09 22:22:51.093;2024-05-09 22:23:30.953;2024-05-09 22:23:28.640;;101,103,110,111,113
29;43,3509674072266;325;5;0;2,57731962203979;1;2,80079960823059;0;836;1;43,3509674072266;325;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2024-05-09 22:23:49.830;2024-05-09 22:24:34.080;2024-05-09 22:24:31.763;;101,103,110,111,113
30;57,4499053955078;320;4;1;2,57731962203979;1;2,38500022888184;0;828;1;57,4499053955078;320;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2024-05-09 22:24:58.997;2024-05-09 22:25:57.357;2024-05-09 22:25:55.207;101;103,110,111,113
31;43,8642845153809;255;3;1;2,06185555458069;1;2,54549980163574;0;766;1;43,8642845153809;255;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2024-05-09 22:26:00.727;2024-05-09 22:26:45.513;2024-05-09 22:26:43.360;101;103,110,111
32;39,1371154785156;320;4;1;2,57731962203979;1;2,32820010185242;0;832;1;39,1371154785156;320;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2024-05-09 22:27:10.877;2024-05-09 22:27:50.907;2024-05-09 22:27:48.753;101;103,110,111,113
33;49,6114349365234;320;4;1;2,57731962203979;1;2,98570132255554;0;830;1;49,6114349365234;320;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2024-05-09 22:27:54.567;2024-05-09 22:28:45.130;2024-05-09 22:28:42.970;101;103,110,111,113
34;39,9119873046875;255;3;1;2,06185555458069;1;2,40730094909668;0;767;1;39,9119873046875;255;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2024-05-09 22:29:06.053;2024-05-09 22:29:46.900;2024-05-09 22:29:44.737;101;103,110,111
35;300,683135986328;2080;32;9;46,9072151184082;6;34,2987251281738;0;8601;0;57,9807205200195;260;0;4;0;1;0;123,785720825195;1560;3;24;2;2;0;47,8616256713867;260;6;4;0;0;0;7;2024-05-09 22:40:04.653;NULL;2024-05-09 22:45:26.347;210,206,209,313,312,309,308,317,316;101,103,114,113,202,203,204,205,207,208,209,210,211,220,221,214,215,216,217,219,218,225,226,227,230,232,233,234,301,302,303,314
36;97,9465255737305;325;5;0;2,57731962203979;1;1,96599912643433;0;830;0;40,6556510925293;325;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2024-05-09 23:20:32.137;NULL;2024-05-09 23:22:14.100;;101,103,110,111,113
37;52,0248146057129;260;4;0;2,06185555458069;1;7,84722089767456;0;769;1;52,0248146057129;260;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2024-05-10 01:46:46.667;2024-05-10 01:47:39.740;2024-05-10 01:47:40.773;;101,103,110,111
38;60,0630874633789;260;4;0;2,06185555458069;0;5,51019811630249;0;768;0;60,0630874633789;260;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2024-05-10 11:39:30.637;NULL;2024-05-10 11:40:36.893;;101,103,110,111
39;99,1887588500977;320;4;1;2,57731962203979;1;5,3899998664856;0;825;1;99,1887588500977;320;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2024-05-10 19:06:49.277;2024-05-10 19:08:36.760;2024-05-10 19:08:37.000;101;103,110,111,113
40;72,7028884887695;385;5;1;3,09278345108032;1;14,0099811553955;0;891;1;72,7028884887695;385;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2024-05-10 19:08:42.573;2024-05-10 19:09:56.067;2024-05-10 19:09:56.163;101;103,110,111,113,114
41;68,6272354125977;320;4;1;2,57731962203979;1;7,12899780273438;0;1334;1;68,6272354125977;320;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2024-05-10 19:10:00.247;2024-05-10 19:11:09.653;2024-05-10 19:11:09.897;101;103,110,111,113
42;42,8307151794434;310;2;3;2,57731962203979;1;9,74298000335693;0;1333;1;42,8307151794434;310;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2024-05-10 19:11:18.183;2024-05-10 19:12:01.790;2024-05-10 19:12:02.027;101,103,102;103,114
43;9,75707149505615;65;1;0;0,515463888645172;0;0,34170001745224;0;65;0;9,75707149505615;65;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2024-05-10 20:10:03.680;NULL;2024-05-10 20:10:03.680;;101
44;145,802383422852;260;4;1;15,4639167785645;1;4,7509970664978;0;2777;0;82,3284912109375;260;1;4;1;2;0;20,0092124938965;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2024-05-10 20:09:52.913;NULL;2024-05-10 20:12:22.880;105;101,103,114,113
45;207,583068847656;1520;22;5;39,6907196044922;1;10,67103099823;0;7548;1;80,8589019775391;285;3;3;0;5;0;115,778648376465;975;0;15;0;1;0;10,8586673736572;260;2;4;1;0;0;16;2024-05-11 16:01:56.457;2024-05-11 16:06:02.927;2024-05-11 16:06:02.877;107,106,105,311,313;101,103,114,202,203,204,205,207,214,215,216,217,219,218,230,232,233,234,304,306,306,308
46;254,432525634766;2380;32;16;63,4020614624023;3;18,5501194000244;0;11411;1;40,6261825561523;130;0;2;0;5;0;93,0812683105469;840;5;12;0;1;0;76,7425003051758;1410;11;18;3;2;1;17;2024-05-11 16:09:42.367;2024-05-11 16:14:10.127;2024-05-11 16:14:09.413;210,209,206,212,207,305,313,312,303,309,308,301,304,316,317,315;103,114,202,203,204,205,208,209,211,220,221,225,226,227,301,302,314,334,333,335,336,337,338,339,342,343,344,345,348,354,355,356
